Company Name,Industry,Address,City,State,ZIP,Contact First Name,Contact Middle Initial,Contact Last Name,Phone,Birthdate,Email,Account Code,National ID,Creation Date,Modify Date,Demo Reference
Speed Wash Laundry,Bars,2025 E Isaacs Ave,wALLA WALLA,WA,99362-2213,Pat,D,Jutz,(912) 264-4829,23/12/1967,pjutz@speedwashlaundry.com,<4829-2213/Jut>,203-64-9754,08/25/98,04/05/06,
Wpc Florida LLC,Manufacturer of concrete products,20630 HIGHWAY 31,fLOMATON,AL,36441-5210,Guy,S,Wright,(986) 457-0800,11/12/1956,gwright@wpcfloridallc.com,<0800-5210/Wri>,202-67-9049,07/14/07,12/15/99,
U-Haul Co,Truck Renting & Leasing,207 Walnut St,cHICO,CA,95928-5051,Zoo,E,Younon,(656) 803-7447,22/02/1975,zyounon@u-haulco.com,<7447-5051/You>,30-90-2659,03/24/01,11/02/08,
Rite Choice Taxi Inc,Taxicabs & Transportation Service,2208 Shinnwyck Ct,rALEIGH,NC,27604-6507,Odu,,Asiegbu,(376) 379-3596,07/08/1964,oasiegbu@ritechoicetaxiinc.com,<3596-6507/Asi>,376-55-1865,02/10/10,07/14/02,
First Kit Chinese Take Out Fd,Luaus,2225 Jerusalem Ave,mERRICK,NY,11566-1810,Chu,,Leean,(800) 773-4183,17/03/1966,cleean@firstkitchinesetakeoutfd.com,<4183-1810/Lee>,349-90-8991,10/22/03,06/02/11,
OH Brothers Inc,"Dry cleaning plants, except rugs",223 S Hatch St,sPOKANE,WA,99202-2221,Dae,A,Uh,(989) 431-4630,07/06/1967,duh@ohbrothersinc.com,<4630-2221/Uh>,470-33-3453,07/02/97,02/10/05,
City Line Candy & Tobacco,Wholesaler of tobacco and tobacco products,224 Union Ave,nEW ROCHELLE,NY,10801-6031,Kun,B,Ruy,(244) 327-9861,02/10/1981,kruy@citylinecandy&tobacco.com,<9861-6031/Ruy>,520-71-0218,05/21/06,10/22/98,
Z Games,Games & Game Supplies,2309 Santa Clara Dr # H,sANTA CLARA,Utah,84765-5472,Joe,D,Neuman,(901) 959-0639,03/07/1956,jneuman@zgames.com,<0639-5472/Neu>,272-89-9698,01/30/00,09/10/07,
Ice Refrigeration,Refrigerating Equip-Coml (Wholesale),23910 N 19th Ave,pHOENIX,Arizona,85085-1831,Tim,W,Bernier,(494) 924-0855,04/02/1957,tbernier@icerefrigeration.com,<0855-1831/Ber>,513-94-0644,12/18/08,05/21/01,
Jrj Home Limited,Antiques-Dealers,24 N Union St,lAMBERTVILLE,NJ,08530-2109,Joe,S,Hafif,(314) 476-7150,01/05/1974,jhafif@jrjhomelimited.com,<7150-2109/Haf>,770-51-1378,08/29/02,04/09/10,
Coastal Electric & Air Cond,Air Conditioning Contractors & Systems,24614 Yost Rd,sAN BENITO,TX,78586-8458,Ruy,J,Herring,(430) 009-2146,18/08/1960,rherring@coastalelectric&aircond.com,<2146-8458/Her>,70-03-5821,05/09/96,12/19/03,
Americas Best Vaule Inn,Hotels & Motels,2508 Highway 161,n LITTLE ROCK,AR,72117-3409,Vic,Y,Patel,(439) 158-3397,21/01/1964,vpatel@americasbestvauleinn.com,<3397-3409/Pat>,278-16-5552,03/28/05,11/06/12,
Rbt Construction Inc,Concrete contractor,25200 Richard Rd,sPRING,TX,77386-1504,Roy,D,Taylor,(709) 033-8067,03/11/1976,rtaylor@rbtconstructioninc.com,<8067-1504/Tay>,697-90-4296,12/07/98,07/18/06,
Circle K Store,Snack Products,26290 N Tatum Blvd,pHOENIX,Arizona,85050-8595,Jan,S,Martin,(731) 410-4798,22/11/1967,jmartin@circlekstore.com,<4798-8595/Mar>,107-16-4861,10/26/07,03/28/00,
UFE Inc,Plastics-Mold-Manufacturers,265 Mound View Rd,rIVER FALLS,WI,54022-1599,Ken,E,Arvey,(447) 034-7911,31/05/1976,karvey@ufeinc.com,<7911-1599/Arv>,686-11-1695,07/06/01,02/14/09,
Dirt Cheap,Retailer of home furnishings,2691 Santa Clara Dr,sANTA CLARA,Utah,84765-5463,Ted,,Dukes,(217) 041-3387,11/01/1964,tdukes@dirtcheap.com,<3387-5463/Duk>,40-55-8440,03/17/95,10/26/02,
Kowloon Holding Inc,Luaus,2703 Montrose Blvd,hOUSTON,TX,77006-2732,Sui,,Jow,(300) 911-6675,11/01/1973,sjow@kowloonholdinginc.com,<6675-2732/Jow>,904-22-1945,02/03/04,09/14/11,
Mostly For Men,Barbers,27713 Jefferson Ave # 103,tEMECULA,CA,92590-2629,Jim,,Baez,(161) 130-7286,14/09/1974,jbaez@mostlyformen.com,<7286-2629/Bae>,484-72-6159,10/14/97,05/25/05,
Wayne County Weed Dept,County Government-Education Programs,295 N 100 W,lOA,Utah,84747-0000,Ted,,Taylor,(572) 804-7621,15/08/1975,ttaylor@waynecountyweeddept.com,<7621-0000/Tay>,377-04-8870,09/02/06,02/03/99,
Catholic Church Of Hamburg,Churches,300 E Franklin St,hAMBURG,AR,71646-3543,Vic,,Subb,(727) 974-3606,17/08/1964,vsubb@catholicchurchofhamburg.com,<3606-3543/Sub>,166-99-9943,05/13/00,12/23/07,
Devtron Diversified,Parachutes,3001 E Cholla St,pHOENIX,Arizona,85028-1917,Dan,,Evans,(961) 585-7625,19/08/1975,devans@devtrondiversified.com,<7625-1917/Eva>,135-60-9895,04/01/09,09/02/01,
Eldon Appliance Ctr,Appliances-Household-Major-Dealers,301 S Maple St,eLDON,MO,65026-1854,Mel,,Rohwer,(681) 451-1796,03/09/1959,mrohwer@eldonappliancectr.com,<1796-1854/Roh>,908-16-6107,12/11/02,07/22/10,
WZIP,Radio Stations & Broadcasting Companies,302 Buchtel Mall,aKRON, Ohio,44325-0001,Tom,,Beck,(576) 430-1339,03/06/1958,tbeck@wzip.com,<1339-0001/Bec>,151-94-3975,08/21/96,04/01/04,
Xl Environmental,Engineers-Environmental,309 W 36th St,vANCOUVER,WA,98660-1937,Tim,,Tuttle,(210) 440-4353,03/09/1966,ttuttle@xlenvironmental.com,<4353-1937/Tut>,308-80-5747,07/10/05,12/11/97,
ZF Marine,Blacksmiths,3131 SW 42nd St,fORT LAUDERDALE,FL,33312-6802,Ken,,Petrowski,(560) 734-0317,16/08/1955,kpetrowski@zfmarine.com,<0317-6802/Pet>,395-11-4517,03/21/99,10/30/06,
Overhead Door Corp,Doors-Garage,316 W Chestnut St,dENISON,TX,75020-3198,Bob,,Hagman,(343) 481-9651,06/03/1981,bhagman@overheaddoorcorp.com,<9651-3198/Hag>,383-05-9566,02/07/08,07/10/00,
Chen School,Child day care service,32 Central Ave,nEWARK,NJ,07102-1919,Lae,,Hutchinson,(112) 707-5171,29/11/1968,lhutchinson@chenschool.com,<5171-1919/Hut>,20-99-9005,10/18/01,05/29/09,
Stallings Appliance,Appliances-Household-Major-Repairing,3224 N Vfw Rd,gARDEN CITY,KS,67846-9769,Tom,,Stallings,(407) 845-4000,15/09/1965,tstallings@stallingsappliance.com,<4000-9769/Sta>,467-84-2817,06/29/95,02/07/03,
Ssi,Structural steel erection contractor,3420 S 39th Ave,pHOENIX,Arizona,85009-9799,Joe,,Sehnal,(397) 676-6754,31/03/1973,jsehnal@ssi.com,<6754-9799/Seh>,686-15-2355,05/17/04,12/27/11,
Rons Landscape Maintanance,"Lawn and garden services, nec",36 Lagoon Rd,hILTON HEAD ISLAND,SC,29928-6449,Ron,,Malphrus,(963) 903-0387,25/10/1955,rmalphrus@ronslandscapemaintanance.com,<0387-6449/Mal>,915-65-8809,01/26/98,09/06/05,
M I S International Inc,Local trucking company,3655 Torrance Blvd # 333,tORRANCE,CA,90503-4893,Ken,,Ishiyama,(543) 154-1988,13/03/1960,kishiyama@misinternationalinc.com,<1988-4893/Ish>,995-65-5620,12/15/06,05/18/99,
Opey's Surf & Turf,Restaurants,378 E Williamsburg Rd,sANDSTON,Virginia,23150-1645,Amy,,Madison,(993) 576-5641,14/03/1970,amadison@opey'ssurf&turf.com,<5641-1645/Mad>,646-20-4978,08/25/00,04/05/08,
Bob Evans Restaurant 20,Hamburger & Hot Dog Stands,3818 Belmont Ave,yOUNGSTOWN, Ohio,44505-1408,Tim,,Gleydura,(669) 133-2213,24/10/1960,tgleydura@bobevansrestaurant20.com,<2213-1408/Gle>,12-55-5109,07/14/09,12/15/01,
Fremont Indian State Park,Parks,3820 W Clear Creek Canyon Rd,sEVIER,Utah,84766-6058,Bob,,Hanover,(996) 067-3722,11/12/1964,bhanover@fremontindianstatepark.com,<3722-6058/Han>,512-97-5849,03/25/03,11/03/10,
Orkin Exterminating Co,Pest Control,3830 W Indian School Rd,pHOENIX,Arizona,85019-3587,Don,,King,(234) 392-1836,13/10/1959,dking@orkinexterminatingco.com,<1836-3587/Kin>,8-87-4580,12/03/96,07/14/04,
Wellhead,Manufacturer of oil/gas field,3912 Gilmore Ave,bAKERSFIELD,CA,93308-6214,Rex,,Duhn,(904) 858-4998,09/06/1968,rduhn@wellhead.com,<4998-6214/Duh>,846-24-0481,10/22/05,03/25/98,
Younce & Company PA,Accountants,404 Penny Ln,cONCORD,NC,28025-1217,Kep,,Younce,(238) 691-7254,13/08/1974,kyounce@younce&companypa.com,<7254-1217/You>,378-62-0080,07/03/99,02/11/07,
Pot Au Feu-French Restaurant,Restaurants,44 Custom House St,pROVIDENCE,RI,,Ann,,Burke,(754) 027-0015,18/10/1954,aburke@potaufeu-frenchrestaurant.com,<0015-/Bur>,182-87-4746,05/21/08,10/22/00,
Tri-Chord Steel Systems  Inc,Wire (Wholesale),4411 S 40th St Ste 1,pHOENIX,Arizona,,Kim,,Godwin,(508) 356-0541,27/03/1956,kgodwin@tri-chordsteelsystemsinc.com,<0541-/God>,131-46-6078,01/30/02,09/10/09,
Ross County Historical Society,Museums,45 W 5th St,cHILLICOTHE, Ohio,,Tom,,Kuhn,(742) 777-9326,15/04/1980,tkuhn@rosscountyhistoricalsociety.com,<9326-/Kuh>,70-58-2922,10/11/95,05/22/03,
Capitol Keyboard Easy Music,Musical Instruments-Dealers,4501 Central Ave,hOT SPRINGS,AR,,Joe,,Slyby,(657) 377-6553,11/09/1972,jslyby@capitolkeyboardeasymusic.com,<6553-/Sly>,789-16-6747,08/29/04,04/09/12,
Jdo Enterprises LLC,Business Management Consultants,4532 Jenkins Ln,sAINT LOUIS,MO,,Joe,,Ogle,(177) 060-8181,25/02/1977,jogle@jdoenterprisesllc.com,<8181-/Ogl>,934-17-5147,05/10/98,12/19/05,
Fab Braze Corp,Industrial sand mine,5 Progress Ave,nASHUA,NH,,Don,,Biathrow,(782) 296-6155,10/08/1971,dbiathrow@fabbrazecorp.com,<6155-/Bia>,268-95-4051,03/29/07,08/30/99,
New Onn Kee Inc,Wholesaler of commercial equipment,50 N 3rd St,bROOKLYN,NY,,New,,Kee,(545) 765-5937,04/01/1971,nkee@newonnkeeinc.com,<5937-/Kee>,322-18-5913,12/07/00,07/18/08,
Christian Association-Shared,School Furniture & Equipment (Whol),5013 Currituck Dr,cHARLOTTE,NC,,Ken,,Benzmiller,(924) 915-8814,20/11/1978,kbenzmiller@christianassociation-shared.com,<8814-/Ben>,249-60-0220,10/26/09,03/29/02,
Canyon Lake Upholstery,Automobile Seatcovers Tops & Upholstery,517 Valley Hvn,cANYON LAKE,TX,,Gil,,Guerra,(462) 587-5382,28/06/1969,gguerra@canyonlakeupholstery.com,<5382-/Gue>,776-76-8402,07/07/03,02/15/11,
Pietropaulo Appraisals,"Real estate agents and managers, nec",533 W Villa Rita Dr,pHOENIX,Arizona,,Dan,,Pietropaulo,(644) 678-6349,20/02/1972,dpietropaulo@pietropauloappraisals.com,<6349-/Pie>,423-14-8617,03/17/97,10/26/04,
Student Transportation-America,Buses-School Transportation Service,574 Mammoth Rd # 7,lONDONDERRY,NH,,Ken,,Guzowski,(558) 694-0434,11/12/1955,kguzowski@studenttransportation-america.com,<0434-/Guz>,604-36-1969,02/03/06,07/07/98,
Chinatown Kitchen Inc,Luaus,5957 W Chicago Ave,cHICAGO,IL,,Buk,,Mui,(916) 348-2776,10/05/1962,bmui@chinatownkitcheninc.com,<2776-/Mui>,765-98-2403,10/15/99,05/26/07,
Joe's Union 76,Service Stations-Gasoline & Oil,6002 Saint Clair Ave,cLEVELAND, Ohio,,Joe,,Pinjuh,(493) 851-7969,28/07/1976,jpinjuh@joe'sunion76.com,<7969-/Pin>,721-74-7797,09/02/08,02/03/01,
Az Best Cleaners,Cleaners,602 N 16th St,pHOENIX,Arizona,,Ted,,Jones,(824) 674-1377,11/07/1958,tjones@azbestcleaners.com,<1377-/Jon>,596-07-9846,05/14/02,12/23/09,
Ray Love Architect Inc,Architects,610 E Bell Rd # 2-121,pHOENIX,Arizona,,Ray,,Love,(315) 500-5338,15/05/1969,rlove@raylovearchitectinc.com,<5338-/Lov>,920-82-6118,01/23/96,09/03/03,
Retired Senior Volunteer,Senior Citizens Service Organizations,619 SE 2nd St,tULIA,TX,,Ann,,Kiker,(186) 819-3443,07/03/1964,akiker@retiredseniorvolunteer.com,<3443-/Kik>,345-11-1795,12/11/04,07/22/12,
Holmes Frank & Lees Barber Sp,Barber shop,62 N Main St,cEDAR CITY,Utah,,Lee,,Holmes,(982) 474-4236,09/05/1966,lholmes@holmesfrank&leesbarbersp.com,<4236-/Hol>,781-55-4584,08/22/98,04/02/06,
Don W Dehmlow Painting,Painting/paper hanging contractor,631 Lafayette St,pITTSBURG,TX,,Don,,Dehmlow,(108) 972-5842,01/10/1970,ddehmlow@donwdehmlowpainting.com,<5842-/Deh>,790-02-4488,07/11/07,12/12/99,
Brawley Timber Co,Pulp & Pulp Products (Manufacturers),651 Gold Branch Rd,mURPHY,NC,,Don,,Brawly,(736) 504-4965,07/05/1968,dbrawly@brawleytimberco.com,<4965-/Bra>,275-74-4813,03/21/01,10/30/08,
Nix Excavating Inc,Excavation contractor,664 Nix Rd,pHIL CAMPBELL,AL,,Vic,,Nix,(807) 278-5928,26/12/1970,vnix@nixexcavatinginc.com,<5928-/Nix>,994-61-3007,02/07/10,07/11/02,
Miltec Inc,Wine Consultants,678 Discovery Dr NW,hUNTSVILLE,AL,,Don,,Miller,(573) 574-5254,20/02/1969,dmiller@miltecinc.com,<5254-/Mil>,97-01-4180,10/19/03,05/30/11,
Rtv Alarm Inc,Lightning Protection Equipment,6946 75th St,mIDDLE VILLAGE,NY,,Ray,,Varano,(687) 816-3101,31/03/1963,rvarano@rtvalarminc.com,<3101-/Var>,7-53-5949,06/29/97,02/07/05,
Spendlove Chiropractic,Chiropractor's office,70 S 700 W,hURRICANE,Utah,,Don,,Spendlove,(311) 483-4775,30/10/1967,dspendlove@spendlovechiropractic.com,<4775-/Spe>,673-79-0786,05/18/06,10/19/98,
Lee Lee Nails,Skin Treatments,7146 Villanova Plz,sAINT LOUIS,MO,,Nhi,,Ly,(503) 734-1166,12/12/1957,nly@leeleenails.com,<1166-/Ly>,723-03-7138,01/27/00,09/07/07,
